player,team,nonclutch_3r,clutch_3r,shift_pp,clutch_n
Donovan Mitchell,CLE,0.34887839433293977,0.23655913978494625,-11.231925454799352,93
Giannis Antetokounmpo,MIL,0.138283378746594,0.09230769230769231,-4.597568643890168,65
Pascal Siakam,TOR,0.220576773187841,0.1746031746031746,-4.59735985846664,63
Jayson Tatum,BOS,0.30940704413731607,0.2727272727272727,-3.667977141004336,99
Damian Lillard,POR,0.40702479338842973,0.38028169014084506,-2.6743103247584665,71
James Harden,HOU,0.30324543610547666,0.2857142857142857,-1.7531150391190964,112
Joel Embiid,PHI,0.2051996285979573,0.1935483870967742,-1.1651241501183103,62
CJ McCollum,POR,0.29159369527145357,0.2876712328767123,-0.3922462394741255,73
Kevin Durant,GS,0.2732438016528926,0.27058823529411763,-0.26555663587749523,85
Jaylen Brown,BOS,0.32507149666348906,0.3333333333333333,0.8261836669844258,75
Khris Middleton,MIL,0.3282051282051282,0.33766233766233766,0.9457209457209459,77
Jalen Brunson,NY,0.25733916302311055,0.2692307692307692,1.1891606207658667,130
Stephen Curry,GS,0.463768115942029,0.48412698412698413,2.0358868184955137,126
LeBron James,CLE,0.23957446808510638,0.2845528455284553,4.49783774433489,123
Nikola Jokic,DEN,0.2198505869797225,0.2702702702702703,5.041968329054777,111
Al Horford,BOS,0.41323792486583183,0.4838709677419355,7.063304287610367,62
Shai Gilgeous-Alexander,OKC,0.18619436875567666,0.2698412698412698,8.364690108559317,63
Jamal Murray,DEN,0.27040816326530615,0.3548387096774194,8.443054641211322,93
Kawhi Leonard,LAC,0.2363132363132363,0.3225806451612903,8.6267408848054,93
Jimmy Butler III,MIA,0.1655683690280066,0.2537313432835821,8.81629742555755,67
Russell Westbrook,OKC,0.2775574940523394,0.38235294117647056,10.479544712413114,68
Kyrie Irving,CLE,0.27023498694516973,0.390625,12.039001305483026,64
Klay Thompson,GS,0.46945169712793733,0.6612903225806451,19.18386254527078,62
