team,fga,threes,three_rate,stage
NY,7328,3133,0.4275382096069869,Regular season
NY,746,277,0.37131367292225204,Playoffs | R1-R2
NY,326,134,0.4110429447852761,Finals | Q1-Q3
NY,77,36,0.4675324675324675,Finals | Q4 non-clutch
NY,34,11,0.3235294117647059,Finals | clutch
SA,7371,3108,0.42165242165242167,Regular season
SA,681,261,0.3832599118942731,Playoffs | R1-R2
SA,324,154,0.47530864197530864,Finals | Q1-Q3
SA,67,24,0.3582089552238806,Finals | Q4 non-clutch
SA,34,10,0.29411764705882354,Finals | clutch
